symbol,horizon,model,n_obs,floor_hit_count,floor_hit_rate,min_prediction,median_prediction,max_prediction,qlike_median,qlike_p95
SPY,1,"GARCH(1,1)",286,0,0.0,3.908655888045413e-05,5.416988585689175e-05,0.00013001188119269013,-9.014540809795742,-7.261616028152532
SPY,1,HAR-RV,286,0,0.0,3.603892337872751e-05,5.838228540187868e-05,0.0002485592882835413,-9.005107590030677,-7.535495858274956
SPY,1,Lasso,286,0,0.0,3.1412352523221846e-05,4.547558347146223e-05,0.0011486526945412002,-9.034361943216432,-7.465291395236633
SPY,1,Ridge,286,0,0.0,3.0581014465966454e-05,4.4825572121416e-05,0.0012139482114881292,-9.034002110732139,-7.441611508352658
SPY,1,XGBoost,286,0,0.0,7.763042958686128e-05,8.500401600031182e-05,0.00010017074237111956,-8.855452606911525,-7.605834008740279
SPY,5,"GARCH(1,1)",286,0,0.0,4.075533425820074e-05,5.4170103988414815e-05,0.00012555358942740037,-8.873932702125227,-7.794832597151406
SPY,5,HAR-RV,286,0,0.0,4.071340181906302e-05,6.119769833013833e-05,0.00019583438206534188,-8.848325189552227,-7.9216542212495415
SPY,5,Lasso,286,0,0.0,3.5063703080776934e-05,5.057708568030885e-05,0.0005966399977113909,-8.845850057499113,-7.904876752356875
SPY,5,Ridge,286,0,0.0,3.619460192522421e-05,5.1025371226587644e-05,0.0005624169639060294,-8.84095840194264,-7.904836683789632
SPY,5,XGBoost,286,0,0.0,7.669271144550294e-05,8.380187500733882e-05,9.841220162343234e-05,-8.781326820421869,-8.117847365433516
